
   The included below is "mass table" calculated with the NL3* covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=2004
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
 805   format(i3,i4,f7.3,f11.3,f6.1,f6.1,2f7.2,1f7.3,4f7.3,2f7.3)
c ---------------------------------------------------------------------------

  Z   N   def        E    Lam_n Lam_p   Ep_n   Ep_p   Rc    B2_n   B2_p   B4_n   B4_p   R2_n   R2_p

  2   2  0.000    -34.222 -16.6 -15.2   0.00   0.00  2.145  0.000  0.000  0.000  0.000  1.976  1.991
  2   4  0.000    -36.959  -2.2 -23.0  -6.55   0.00  2.109  0.000  0.000  0.000  0.000  2.610  1.951
  2   6  0.000    -38.987  -1.3 -28.8  -6.93   0.00  2.116  0.000  0.000  0.000  0.000  2.924  1.959
  2   8  0.000    -39.062   0.3 -32.0  -4.20   0.00  2.152  0.000  0.000  0.000  0.000  3.257  1.998
  4   4  1.219    -52.183 -13.5 -11.4   0.00   0.00  2.639  1.209  1.229  0.801  0.824  2.493  2.515
  4   6  0.000    -65.294  -6.4 -13.2  -3.39  -5.78  2.385  0.000  0.000  0.000  0.000  2.512  2.247
  4   8  0.000    -74.293  -5.9 -17.6   0.00  -6.29  2.441  0.000  0.000  0.000  0.000  2.784  2.307
  4  10  0.000    -74.926  -0.4 -19.6  -7.98  -6.22  2.464  0.000  0.000  0.000  0.000  3.241  2.331
  4  12  0.629    -75.035  -0.1 -22.1 -10.01  -2.86  2.584  0.658  0.543  0.154  0.175  3.491  2.457
  6   4 -0.004    -60.285 -15.0  -3.6  -5.92  -3.96  2.695 -0.003 -0.004  0.000  0.000  2.249  2.573
  6   6 -0.400    -88.406 -17.0 -13.9   0.00   0.00  2.560 -0.395 -0.405  0.126  0.136  2.407  2.432
  6   8  0.000   -106.191  -9.9 -14.0   0.00  -1.11  2.533  0.000  0.000  0.000  0.000  2.593  2.403
