
   The included below is "mass table" calculated with the DD-ME$\delta$ covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=1686
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
 805   format(i3,i4,f7.3,f11.3,f6.1,f6.1,2f7.2,1f7.3,4f7.3,2f7.3)
c ---------------------------------------------------------------------------

  Z   N   def        E    Lam_n Lam_p   Ep_n   Ep_p   Rc    B2_n   B2_p   B4_n   B4_p   R2_n   R2_p

  2   2  0.000    -22.848 -17.9 -16.5   0.00   0.00  2.081  0.000  0.000  0.000 -0.001  1.907  1.922
  2   4  0.012    -28.227  -1.5 -24.8  -6.03   0.00  2.071  0.017  0.001  0.002  0.000  2.580  1.911
  2   6 -0.006    -29.489  -0.3 -31.3  -5.86   0.00  2.085 -0.008  0.000  0.001  0.000  2.886  1.926
  4   2 -0.008    -24.931 -25.6   0.4   0.00  -6.01  2.792  0.000 -0.011  0.000  0.002  1.909  2.675
  4   4  0.930    -50.962  -8.5  -6.4  -0.39  -0.54  2.512  0.927  0.933  0.335  0.330  2.360  2.381
  4   6 -0.394    -62.766  -6.0 -13.8  -0.72  -5.41  2.435 -0.415 -0.364  0.105  0.093  2.514  2.300
  4   8 -0.001    -70.850  -6.0 -18.8   0.00  -6.48  2.424 -0.002  0.000 -0.001  0.000  2.684  2.288
  6   4 -0.390    -57.287 -15.7  -3.1  -5.46  -1.36  2.692 -0.354 -0.414  0.087  0.105  2.292  2.570
  6   6 -0.438    -85.914 -16.6 -13.4   0.00   0.00  2.598 -0.433 -0.442  0.121  0.125  2.446  2.472
  6   8  0.000   -105.305 -11.2 -14.6   0.00  -4.18  2.557  0.000  0.000  0.000  0.000  2.559  2.429
  6  10  0.279   -110.165  -2.6 -17.9  -5.69  -3.79  2.600  0.330  0.193  0.123  0.036  2.848  2.474
  6  12 -0.397   -114.073  -2.4 -25.3  -6.91   0.00  2.656 -0.427 -0.338  0.194  0.084  3.059  2.532
